lipid.species	oddsratio	se
PC 34:6	1.79	0.13662
PC 34:5	0.74	0.12452
18:2 820 TAG C48	0.89	0.12213
16:2 870 TAG C52	0.78	0.12435
16:1 842 TAG C50	0.92	0.11752
PC 42:5	0.9	0.12413
PC 32:4	0.97	0.12601
CE 18:2	1.06	0.12881
18:1 800 tag C52	1.03	0.13525
20:2 928 TAG C56	0.98	0.13847
16:2 872 TAG C52	0.83	0.12817
14:0 872 TAG C52	0.85	0.1201
PE 38p:5 750.6	0.93	0.115
16:1 902 TAG C54	0.84	0.12082
PC 38:3	1.08	0.12907
20:2 872 TAG C52	0.9	0.12052
18:1 898 TAG C54	0.96	0.13027
PC 40:1	1.32	0.12651
PS 34:4	1.48	0.12888
LPC 20:2	0.8	0.12324
18:2 926 TAG C56	0.87	0.12468
16:0 872 TAG C52	0.97	0.1155
20:1 900 Tag C54	0.85	0.12541
CER 20:0	1.24	0.12445
PC 38:6	0.79	0.1235
PS 38:4	1.56	0.13168
18:1 924 TAG C56	0.88	0.12775
20:0 874 TAG C52	0.94	0.12844
CE 16:1	1.11	0.12886
PS 38:5	1.77	0.13395
20:2 930 TAG C56	0.92	0.11805
18:1 874 TAG C52	0.98	0.11538
14:0 798 TAG CE46	1.09	0.12146
PC 36:6	0.88	0.12592
Dag 34:0 NL 16:0	1.13	0.12418
CE 20:4	0.92	0.13149
18:0 900 Tag C54	0.94	0.1193
PC 36:1	1.43	0.12895
PC 34:2	1.6	0.12132
22:5 920 TAG C56	0.74	0.12627
20:4 894 TAG C54	0.81	0.12886
Cer 16:0	1.35	0.1254
14:0 850 TAG C50	0.91	0.11899
14:0 874 TAG C52	0.81	0.12575
18:0 826 TAG C48	1.01	0.11836
16:2 874 TAG C52	0.9	0.12439
14:0 870 TAG C52	0.79	0.12425
14:1 822 TAG C48	1.002	0.19927
PC 30:0	1.14	0.12616
DAG 36:0 NL 18:0	1.09	0.12571
20:0 902 TAG C54	0.88	0.12031
PC 28:6	1.15	0.1233
16:2 820 TAG C48	0.95	0.11845
LPC 22:5	0.69	0.12952
PC 32:1	1.17	0.12856
20:2 898 TAG C54	0.9	0.12815
18:1 878 TAG C52	1.03	0.14734
14:0 796 TAG CE46	1.03	0.12164
14:1 816 TAG C48	0.98	0.09944
PC 42:4	1.04	0.12059
PC 38:4	1.02	0.11476
18:1 896 TAG C54	0.94	0.12165
18:0 898 TAG C54	1.07	0.11491
18:2 790 TAG CE46	0.97	0.10465
PS 36:4	2.09	0.14212
20:1 926 TAG C56	0.93	0.1205
PE 36:5 738.6	1.29	0.12504
16:1 878 TAG C52	0.89	0.11988
18:0 846 TAG C50	0.94	0.113
Dag 34:1 NL 16:0	1.11	0.12089
PC 36:2	1.58	0.12987
18:1 922 TAG C56	0.74	0.12488
18:0 854 TAG C50	0.99	0.09644
DAG 36:2 NL 18:0	1.03	0.12229
PC 42:6	0.78	0.1248
16:0 926 TAG C54	0.95	0.13501
LPC 18:0	0.73	0.12977
16:1 870 TAG C52	0.9	0.11852
22:1 900 Tag C54	1.07	0.11819
CE 18:3	1.16	0.12524
20:0 878 TAG C52	0.88	0.12908
PE 40p:0 788.6	1.37	0.12546
LPC 22:6	0.58	0.13801
22:1 956 TAG C58	0.87	0.1203
LPC 20:3	0.74	0.12581
20:4 922 TAG C56	0.88	0.12961
18:1 820 TAG C48	0.9	0.12815
18:0 924 TAG C56	0.85	0.12038
LPC 18:2	0.67	0.1317
Cer 24:0 hexosyl	1.07	0.12523
22:1 930 TAG C56	0.92	0.12478
CE 18:0	0.99	0.08333
18:0 872 TAG C52	0.92	0.11752
20:1 906 TAG C54	0.86	0.12377
20:4 920 TAG C56	0.94	0.11545
Dag 34:2 NL 16:1	0.89	0.12731
16:0 798 TAG CE46	1.03	0.13525
PC 42:3	1.14	0.12512
20:0 800 tag C52	0.92	0.12305
PC 42:1	1.5	0.12885
CER 24:0	1.12	0.12101
20:0 906 TAG C54	0.89	0.12366
LPC 16:0	0.76	0.12615
16:1 896 TAG C54	0.89	0.12945
PS 40:5	1.46	0.13038
18:2 816 TAG C48	0.89	0.12573
20:4 918 TAG C56	0.86	0.12323
20:3 872 TAG C52	0.96	0.13777
22:0 956 TAG C58	1.001	0.03797
16:1 874 TAG C52	0.92	0.13213
Dag 34:2 NL 16:0	1.05	0.12934
LPC 14:0	0.57	0.13763
Cer 16:0 hexosyl	1.07	0.12226
20:3 902 TAG C54	1.02	0.13692
LPC 17:0	0.66	0.1304
PE 36p:4 724.6	0.9	0.12231
16:0 896 TAG C52	0.82	0.12764
20:3 922 TAG C56	0.93	0.11726
20:3 896 TAG C54	0.91	0.12596
22:5 926 TAG C56	0.91	0.1254
20:1 932 TAG C56	0.94	0.12097
22:5 896 TAG C54	0.74	0.12891
PC 42:2	1.25	0.12584
PC 32:2	0.78	0.14379
PC 36:0	1.36	0.12777
PE 34a:3 714.6	1.34	0.12581
PC 28:4	1.06	0.13122
PE 36:2 p:2 728.6	1.44	0.12768
PC 42:0	1.23	0.12429
CE 14:1	0.92	0.12219
PC 36:3	1.48	0.12882
PE 38p:4 752.6	1.09	0.12146
PE 36a:4 740.6	1.3	0.12717
Cer 24:1 hexosyl	1.06	0.11956
20:4 874 TAG C52	0.85	0.12653
18:1 848 TAG C50	0.97	0.12669
Cer 22:0	1.09	0.12958
20:0 928 TAG C56	0.85	0.12851
20:1 874 TAG C52	0.86	0.1235
14:0 818 TAG C48	0.85	0.12569
DAG 32:0 NL 16:0	1.21	0.12491
18:2 922 TAG C56	0.84	0.12379
PE 40a:5 794.6	1.08	0.11572
18:2 904 TAG C54	0.92	0.12248
18:0 882 TAG C52	1.02	0.12588
PE 40a:4 796.6	1.22	0.12755
14:1 840 TAG C50	1.28	0.13821
PC 38:2	1.13	0.12547
Cer 16:0 lactosyl	0.87	0.11903
22:3 930 TAG C56	1.26	0.12407
Cer 18:0	1.13	0.11915
DAG 36:1 NL 18:1	1.04	0.11107
20:0 872 TAG C52	0.96	0.13717
PE 36:3 p:3 726.6	0.91	0.12321
20:0 926 TAG C56	0.97	0.13775
20:1 876 TAG C52	0.84	0.12706
18:1 844 TAG C50	0.82	0.12695
Dag 34:0 NL 18:0	1.1	0.11896
CE 22:6	0.71	0.1285
PE 38e:0 762.6	1.35	0.12338
14:1 794 TAG CE46	0.95	0.12948
16:1 900 Tag C54	0.87	0.12572
18:2 848 TAG C50	0.98	0.16077
PE 38p:3 754.6	1.19	0.12558
20:2 926 TAG C56	0.9	0.11876
PC 28:1	0.97	0.14992
LPC 18:1	0.83	0.12178
LPC 20:4	0.73	0.12685
18:0 930 TAG C56	0.99	0.09199
LPE 18:1 480.3	1.06	0.13041
LPE 18:2 478.3	1.02	0.15448
20:0 882 TAG C52	1.21	0.12227
PS 40:6	1.51	0.12657
14:0 822 TAG C48	0.94	0.12097
14:0 766 TAG C44	1.03	0.10682
PC 32:3	0.84	0.12944
18:0 874 TAG C52	0.86	0.12137
PC 32:0	1.41	0.12824
PC 40:5	0.93	0.11726
PC 28:2	0.93	0.13801
PC 34:4	0.94	0.1343
PE 36a:2 744.6	1.31	0.12592
PE 38a:3 770.6	1.16	0.12338
PC 40:4	0.99	0.08793
PE 34a:1 718.6	1.37	0.12689
PE 36:0 p:0 732.6	1.33	0.12697
18:2 930 TAG C56	0.81	0.12674
18:0 822 TAG C48	0.91	0.12134
PC 40:6	0.83	0.12146
PC 34:3	1.21	0.12392
PC 28:5	1.15	0.12512
20:2 904 TAG C54	0.96	0.11018
16:1 816 TAG C48	0.83	0.1221
18:1 932 TAG C56	0.86	0.12754
PC 40:0	1.35	0.12517
14:1 842 TAG C50	1.39	0.12498
20:1 848 TAG C50	0.93	0.1208
22:1 906 TAG C54	1.11	0.124
DAG 32:1 NL 16:1	0.96	0.13962
Cer 22:0 lactosyl	0.89	0.12521
16:1 868 TAG C52	0.89	0.12443
16:0 876 TAG C52	1.03	0.12428
PC 34:0	1.5	0.12899
PE 34:1 p:1 702.6	1.36	0.12603
DAG 36:4 NL 18:1	0.91	0.12485
20:0 934 TAG C56	0.87	0.12209
20:2 846 TAG C50	0.94	0.12372
18:1 928 TAG C56	0.91	0.11847
16:0 790 TAG CE46	0.91	0.12028
PE 38p:2 756.6	0.9	0.12413
20:2 876 TAG C52	0.99	0.09094
14:1 844 TAG C50	0.84	0.12795
PC 36:5	0.87	0.12599
CE 16:0	1.07	0.1152
18:1 792 TAG CE46	0.97	0.11841
14:1 848 TAG C50	0.91	0.12736
18:0 800 tag C52	1.02	0.10836
18:2 920 TAG C56	0.73	0.12887
PS 36:3	1.16	0.12471
18:2 894 TAG C54	0.89	0.12599
14:0 868 TAG C52	0.76	0.12584
16:0 922 TAG C54	0.7	0.12896
PC 30:1	1.13	0.13077
20:0 852 TAG C50	0.91	0.1285
DAG 36:4 NL 18:3	1.03	0.11491
20:4 898 TAG C54	0.95	0.13219
PE 40e:0 790.6	1.22	0.12267
20:1 872 TAG C52	1.03	0.12774
Cer 24:1	0.95	0.12114
PC 40:2	1.3	0.12684
PC 38:5	0.9	0.11976
16:2 844 TAG C50	0.78	0.12964
DAG 32:2 NL 16:1	0.82	0.12452
22:6 894 TAG C54	0.69	0.12824
LPC 16:1	0.74	0.12661
18:1 902 TAG C54	0.99	0.10264
DAG 32:1 NL 16:0	1.12	0.12801
22:5 900 Tag C54	0.89	0.11889
14:1 850 TAG C50	0.94	0.11545
14:0 842 TAG C50	0.87	0.12468
PE 38a:6 764.6	1.14	0.12053
16:1 824 TAG C48	0.999	0.0285
22:1 898 TAG C54	0.92	0.11832
18:2 844 TAG C50	0.84	0.1226
16:0 818 TAG C48	0.85	0.12205
14:1 846 TAG C50	0.87	0.12625
Cer 23:0	0.95	0.11409
LPC 22:4	0.96	0.11139
18:0 928 TAG C56	0.84	0.12231
16:0 928 TAG C54	0.92	0.12248
20:1 850 TAG C50	0.91	0.12028
CE 14:0	0.96	0.12301
18:0 922 TAG C56	1.08	0.12779
18:2 822 TAG C48	1.01	0.17633
PE 36a:0 748.6	1.12	0.12909
20:1 878 TAG C52	0.95	0.11998
PE 36:1 p:1 730.6	1.4	0.12615
14:1 820 TAG C48	0.89	0.12366
20:3 924 TAG C56	1.02	0.12588
Cer 22:0 hexosyl	1.13	0.12265
PS 38:6	1.56	0.12846
PE 38a:4 768.6	1.21	0.12392
20:0 876 TAG C52	0.98	0.10683
14:0 876 TAG C52	0.93	0.12294
16:0 848 TAG C50	1.02	0.14188
16:0 792 TAG CE46	0.95	0.11167
16:0 824 TAG C48	1.03	0.10784
16:0 906 TAG C52	0.95	0.13082
